name,description
YULIFT Cream 50ml,null
Versa Gel 30gm,null
Timeage Anti Aging Cream 50gm,null
RETINEXT Serum 30ml,null
RETILIFT Cream 30gm,null
REELIGHT VC 20 Serum 30ml,null
Nt Age Cream 50gm,null
MURTELA SKIN REJUVENATING Face Wash 100ml,null
Dolo-650 Tablet,"Dolo 650 Tablet is also used to reduce a high temperature (fever). It works by blocking the release of certain chemical messengers that cause fever. It may be prescribed alone or in combination with other medicines. Take it as prescribed by the doctor.
"
MELARID Face Wash 100gm,null
HYTEC ANTI-AGING Cream 20gm,null
GLOPETRA C 20% Serum 25ml,null
FILLERON HA+ Serum 30ml,null
FILLERON HA Serum 30ml,null
DS GOLD ANTI WRINKLE Cream 50gm,null
DS GOLD ANTI AGEING Cream 50gm,null
DS GOLD Face Wash 100ml,null
Clearvital Cream 30gm,null
Avarta Anti Ageing Cream 50gm,null
ACNELEX PORE REFINING Cream 30gm,null
AB UV E Gel 15gm,null
ZEROSEPTIC OZ Ointment 20gm,null
ZENDINE Ointment 15gm,null
ZEROSEPTIC SF Ointment 15gm,null
ZEROSEPTIC Ointment 15gm,null
ZEMORAL FORTE Tablet 10's,null
XOBAN 0.9% Ointment 10gm,null
WOXHEAL Topical Solution 1's,null
Wounsol Ointment 15gm,null
Wound Fix Solution 100ml,null
Wokadine Surgical Scrub 500ml,null
Wokadine Powder 10gm,null
Wokadine Ointment 15gm,null
Wokadine Ointment 125gm,null
Wokadine 10% Solution 500ml,null
Wokadine 10% Solution 100ml,null
Tercin Whp Powder 5gm,null
T Muce Ointment 5gm,null
SUCRALIME ANO Cream 20gm,null
SILVEBACT NANO Cream 15gm,null
SILVEBACT Cream 15gm,null
SEPSADONE 10% Ointment 20gm,null
SUCRAL MU Ointment 15gm,null
Sucral MU Ointment 5gm,null
Sucral Cream 20gm,null
STRRONG Gargle 100ml,null
SOLUDINE PLUS 10% Solution 100ml,null
Silveron Gel 15gm,null
Silverex Ionic Gel 100gm,null
Silverex Heal Gel 15gm,null
SILVEREX HEAL Gel(Topical) 50gm,null
SILVERCURE Gel 20gm,null
Servinadine Oinment 15gm,null
Sepovin Ointment 15gm,null
SCARHEAL Gel 15gm,null
Scarend Silicone Gel(Topical) 10gm,null
SCARAZE Gel(Topical) 15gm,null
RUSEAL Injection 0.25ml,null
RUSEAL Injection 0.15ml,null
REGEN D 60 Gel 15gm,null
REGEN D 150 Gel 15gm,null
PREVODINE Solution 500ml,null
PREVODINE Powder 10gm,null
PREVODINE Solution 2000ml,null
PREVODINE Solution 100ml,null
PREVODINE Ointment 250gm,null
PREVODINE Ointment 15gm,null
PREVODINE Ointment 125gm,null
PREVODINE Gargle 100ml,null
PREVODINE 7.5 Solution 500ml,null
PREVODINE 7.5 Solution 100ml,null
PREVODINE 10 Solution 500ml,null
PREVODINE 10 Solution 100ml,null
PREVODINE 10 Ointment 15gm,null
POVIZOX Powder 10gm,null
POVIZOX Ointment 15gm,null
POVIZOX 10% Solution 100ml,null
POVISTOP Ointment 15gm,null
POVIBEST M Ointment 15gm,null
POVIBEST Solution 100ml,null
POVIBEST Powder 10gm,null
POVIBEST Ointment 15gm,null
PLAKONTA Gel 20gm,null
PLAKONTA 2ml Injection 1's,null
PUREDINE 5% Solution 100ml,null
Puradine OZ Ointment 15gm,null
PURADINE Ointment 15gm,null
Povirobes Ointment 15gm,null
POVINANZ Powder 10gm,null
POVINANZ Ointment 250gm,null
POVINANZ 10% Solution 500ml,null
POVINANZ Ointment 20gm,null
POVINANZ Ointment 15gm,null
POVINANZ 5% Solution 500ml,null
POVINANZ 5% Solution 100ml,null
POVINANZ 10% Solution 100ml,null
Povimet Oinment 15gm,null
Povimed Oinment 5gm,null
POVIMAX Ointment 20gm,null
POVIMAX Ointment 15gm,null
POVIFINE ADVANCED 10% Solution 100ml,null
POVIFINE ADVANCED 10% Ointment 15gm,null
Povidine 5% Solution 500ml,null
POVID Solution 100ml,null
POVICIDAL Gel 250gm,null
POVI 10 Solution 100ml,null
POVI 10 Powder 15gm,null
Placentrex Gel 20gm,null
Placentrex Cream 20gm,null
PLACENTREX Injection 2ml,null
PIONEW Ointment 250gm,null
PIONEW Solution 2litre,null
PIONEW Ointment 15gm,null
PECTIDINE Ointment 20gm,null
PDSON Ointment 20gm,null
P I O Ointment 15gm,null
Ovidine 5% Ointment 15gm,null
NESDON O Cream 15gm,null
NOCIN L Cream 15gm,null
NILBURN Cream 500gm,null
NILBURN Cream 25gm,null
NEOSPORIN ANTIBIOTIC Ointment 10gm,null
Neosporin Antibiotic Powder 10gm,null
Nebasulf Powder 10gm,null
MUPRINEX Ointment 5gm,null
MEDSIL Cream 15gm,null
MUPINEXT Ointment 5gm,null
Mupimet Ointment 10gm,null
Microgard Solution 500ml,null
MERCIDINE OZ Ointment 15gm,null
Megatrum P Ointment 10gm,null
Megatrum Ointment 15gm,null
Meganano Gel 50gm,null
Megaheal Gel 50gm,null
Megaheal Gel 200gm,null
Megaheal Gel 15gm,null
MEGADINE Cream 10gm,null
MEDISIL Cream 500gm,null
MEDISIL Cream 250gm,null
MEDISIL Cream 15gm,null
MDINE 5% Ointment 15gm,null
MBSPORIN SPRINKLING Powder 10gm,null
LYCIMOND Ointment 20gm,null
IDOXINE Ointment 10gm,null
IDOXINE 1000mg Powder 10gm,null
HYPOCLIN Solution 60ml,null
Hydroheal Silwash Solution 60ml,null
Hydroheal AM Gel 50gm,null
Hydroheal AM Gel 15gm,null
Hydrogen Peroxide(Cymer) Solution 100ml,null
HYDROGEN PEROXIDE (VL) Solution 450ml,null
Hydrogen Peroxide Solution 100ml,null
Hexiprep 0.4% Solution 500ml,null
Hexilak Gel 20gm,null
Hexilak Gel 10gm,null
Healex Plus Spray 100gm,null
GERMKILL Soap 75gm,null
Fheal Cream 32Gm,null
ENZO IPS Tablet 10's,null
ENTISEP Liquid 1000ml,null
Endruff Lotion 100ml,null
Drez S Ointment 15gm,null
Drez S Ointment 100gm,null
Drez 5Cm Tulle 1's,null
Drez 10X10Cm Tulle 1's,null
Drez Spray 40gm,null
Drez Solution 500ml,null
Drez Solution 100ml,null
Drez S Powder 10gm,null
DREZ Ointment 100gm,null
DREZ 10% Solution 100ml,null
DREZ 10% Ointment 10gm,null
DRESIN Solution 1000ml,null
DRESIN Ointment 175gm,null
DRESIN Ointment 15gm,null
DEBRIVOID Ointment 15gm,null
DEBRIN Cream 15gm,null
DEBRIFREE Ointment 15gm,null
Debridace Ointment 15gm,null
Contractubex Gel 20gm,null
CODOL Ointment 20gm,null
Cipladine Powder 10gm,null
Cipladine Ointment 20gm,null
Cipladine 5% Ointment 15gm,null
Cetrilak Plus Soap 75gm,null
Cetrilak Mild Solution 100ml,null
CARIHEAL Ointment 15gm,null
CADOMER Powder 10gm,null
CADOMER Ointment 20gm,null
CADOMER Ointment 10gm,null
BYE BURN Cream 20gm,null
BIODINE SPRINKLING Powder 10gm,null
BURNSIL Cream 15gm,null
BURNOSAF PLUS Cream 100gm,null
BURNOSAF Cream 200gm,null
Bionect Ointment 15gm,null
Betadine Surgical scrub 7.5% Solution 50ml,null
Betadine Surgical Scrub 7.5% Solution 500ml,null
Betadine First Aid Solution 50ml,null
BETADINE Ointment 10gm,null
BETADINE 4% Lotion 60ml,null
Betadine Powder 10gm,null
Betadine Ointment 25gm,null
Betadine Ointment 250gm,null
Betadine Ointment 125gm,null
Betadine 5% Solution 500ml,null
Betadine 5% Solution 1Ltr,null
Betadine 10% Solution 500ml,null
Betadine 10% Solution 100ml,null
BETADINE Ointment 20gm,null
BETADINE 0.4% Solution 50ml,null
BENZYL SEPTOL ACTIVE Liquid 5litre,null
BENZYL SEPTOL ACTIVE Liquid 100ml,null
Balvidine Ointment 30gm,null
B Bact Ointment 5gm,null
B BACT Ointment 15gm,null
AGKOOL Cream 250gm,null
Autolyse Ointment 15gm,null
ANTIDON Ointment 250gm,null
ANTIDON Solution 500ml,null
ANTIDON Solution 100ml,null
ANTIDON Ointment 20gm,null
Amcrylate Injection 0.25ml,null
ADDEX 500mg Ointment 10gm,null
ADDEX 1000mg Powder 10gm,null
Vyfat 120mg Capsule 10'S,null
Reshape Slim Sugar Free Powder 400gm,null
RESHAPE SLIM Powder 10X30gm,null
Reeshape 60mg Capsule 15'S,null
Reeshape 120mg Capsule 15'S,null
Orlica 60mg Capsule 10'S,null
Orlica 120mg Capsule 10'S,null
Orlean 60mg Capsule 10'S,null
Orlean 120mg Capsule 10'S,null
Olisat 60mg Capsule 10'S,null
Olisat 120mg Capsule 10'S,null
Obezita 60mg Capsule 10'S,null
Obezita 120mg Capsule 10'S,null
Obelit 60mg Capsule 10'S,null
Obelit 120mg Capsule 10'S,null
O Stat 60mg Capsule 10'S,null
O Stat 120mg Capsule 10'S,null
Megaburn 120mg Capsule 10'S,null
MEGABURN 60 Capsule 10's,null
Lipophage 60mg Capsule 10'S,null
Lipophage 120mg Capsule 10'S,null
Lipocut 60mg Capsule 10'S,null
Lipocut 120mg Capsule 10'S,null
Kilfat Tablet 10'S,null
Ishape 60mg Capsule 10'S,null
Ishape 120mg Capsule 10'S,null
FNS 25 Sachet 5gm,null
Watnil Solution 15ml,null
WATNIL Solution 10ml,null
Vaniza Gel 10gm,null
SLC WAT Solution 10ml,null
Saslic Face Wash Foam 60ml,null
Salicylix SF 6% Ointment 50gm,null
Salicylix SF 12% Ointment 50gm,null
SALICURE 17 Ointment 20gm,null
SALICURE 6% OINTMENT 30GM,null
SALICURE 12% OINTMENT 30GM,null
Salex L Solution 10ml,null
Salactin Paint 10ml,null
Podowart S Paint 10ml,null
Podowart Paint 10ml,null
KERASOL F Lotion 15ml,null
Keralin Ointment 15gm,null
E WART Solution 15ml,null
Dersol L Solution 15ml,null
Dersol 6% Ointment 25gm,null
Dersol 40% Ointment 25gm,null
Dersol 30% Ointment 25gm,null
Dersol 3% Ointment 25gm,null
Dersol 24% Ointment 25gm,null
Dersol 18% Ointment 25gm,null
Dersol 12% Ointment 25gm,null
CORNEX Corn Caps 4's,null
BIODEBRID Ointment 15gm,null
SUXINATE Tablet 10's,null
PREGWIN Capsule 10's,null
NV NORM Tablet 10's,null
NAUSET 4mg Orally Disintegrating Tablet 10's,null
METCLOMIDE Injection 2ml,null
GRANDAY Syrup 10ml,null
GNOTRAN MD 4 Tablet 10's,null
DOXIZEST Tablet 10's,null
DOMZEST Tablet 10's,null
DOMZEST Suspension 30ml,null
CARE 9 NVP Tablet 10's,null
ZONDRON MD 4 Tablet 10's,null
ZONDE MD 4mg Tablet 10's,null
Zoftaron 2mg Drops 30ml,null
Zofer MD 8mg Tablet 10'S,null
Zofer MD 4mg Tablet 10'S,null
Zofer Injection 2ml,null
Zofer 8mg Tablet 10'S,null
Zofer 4mg Tablet 10'S,null
Zofer 2mg Syrup 30ml,null
XONDMET Tablet 10's,null
VOMISHUNT MD 8 Tablet 10's,null
VOMISHUNT MD 4 Tablet 10's,null
VOSTOP Tablet 10's,null
Vorast 2mg Injection 2ml,null
VONDER MD 4 Tablet 10's,null
VONDER Syrup 30ml,null
VONARIL MD Tablet 10's,null
VONARIL Syrup 30ml,null
VOMIZ 8mg Tablet 10's,null
VOMIZ 4mg Tablet 10's,null
VOMIZ 2mg Injection 4ml,null
VOMIZ 2mg Injection 2ml,null
VOMISTOP DT 10mg Tablet 10's,null
Vomistop 10mg Tablet 10'S,null
VOMISHUNT Injection 4ml,null
VOMISHUNT Injection 2ml,null
VOMISHUNT Syrup 30ml,null
Vomiset MD 4mg Tablet 10'S,null
Vomiset 8mg Tablet 10'S,null
Vomiset 4mg Tablet 10'S,null
VOMISET Oral Solution 30ml,null
VOMIRID 8mg Injection 2ml,null
VOMIPRL Oral Solution 30ml,null
Vomiof 8mg Tablet 10'S,null
Vomiof 2mg Syrup 30ml,null
VOMINIL MD Tablet 10's,null
VOMINEG 2mg Syrup 30ml,null
Vomilast OD Tablet 10'S,null
Vomilast Tablet 10'S,null
VOMILAST Tablet 30's,null
VOMIKURA MD Tablet 10's,null
Vomikind MD 4mg Tablet 10'S,null
Vomikind MD 2mg Tablet 10'S,null
Vomikind Fast Strip 4mg,null
VOMIKIND FAST 4 Strips 1's,null
Vomikind Syrup 30ml,null
Vomikind Injection 2ml,null
Vomikind Injection 10ml,null
VOMIJOY MD 8 Tablet 10's,null
VOMIJOY MD 4 Tablet 10's,null
Vomihalt Syrup 30ml,null
VOMIGEN MD Tablet 10's,null
VOMIGEN Syrup 30ml,null
VOMIFORD MD 4mg Tablet 10's,null
Vomiford Drops 30ml,null
Vomiford 4mg Tablet 10'S,null
Vomibull 2mg Syrup 30ml,null
VOMI 6 Tablet 10's,null
VOMEX Tablet 30's,null
VOMEX Tablet 10's,null
VOMETIL MD Tablet 10's,null
VOMALTHEA 2mg Injection 2ml,null
VOM GO Injection 2ml,null
VOM GO Drops 30ml,null
VERTIGIL Tablet 6's,null
Verdom 15/20mg Tablet 10'S,null
VENTTO MD 4 Tablet 10's,null
VENTTO Syrup 30ml,null
TOYODOM Suspension 30ml,null
THEMISET Injection 1.5ml,null
TAMETIL Injection 1ml,null
STEMIL MD Tablet 10's,null
Sysfol Plus Tablet 10'S,null
SYSFOL NVP Tablet 10's,null
SYNADOM Tablet 10's,null
Stopvom 1mg Suspension 30ml,null
Stopvom 10mg Tablet 10'S,null
Stemetil 12.5mg Injection 1ml,null
Speronden 4mg Tablet 10'S,null
SPENTRON 2mg Tablet 4's,null
SPENTRON 1mg Tablet 4's,null
Sinate OD Tablet 30'S,null
SHIDOM 10mg Tablet 10's,null
SETRO Syrup 30ml,null
Setmet Paediatric Orange Flavour Oral Drops 30ml,null
SETMET Injection 2ml,null
SANTRON Syrup 30ml,null
RENORM Injection 2ml,null
REGLAN Injection 10ml,null
RANIDAC O Injection 1's,null
QUEEZY Tablet 10's,null
QTA 50mg Tablet 10's,null
QTA 25mg Tablet 10's,null
PREGNIDOXIN PLUS Tablet 30's,null
PACLIMIN Injection 1's,null
PRIDO OD Tablet 10's,null
Pregnidoxin NU Tablet 30'S,null
PNV NEW Tablet 10's,null
Periset MD Tablet 10'S,null
Periset Strawberry Flavour Syrup 30ml,null
Periset Injection 2ml,null
Periset Injection 10ml,null
Periset 8mg Tablet 10'S,null
Periset 4mg Tablet 10'S,null
PERISET Injection 4ml,null
Perinorm Tablet 10'S,null
Perinorm Syrup 60ml,null
Perinorm Injection 2ml,null
Perinorm Injection 20ml,null
Peredom Tablet 10'S,null
PEDIDOM Suspension 30ml,null
P SET 4 Tablet 10's,null
ONTTRION 4mg Tablet 10's,null
ONFOS 4 Tablet 10's,null
ONDURO Syrup 30ml,null
ONDURO 8mg Injection 4ml,null
ONDURO 8 Orally disintegrating tablet 10's,null
ONDURO 4mg Disintegrating Tablet 10's,null
ONDOXYL Tablet 10's,null
ONDIVOL Injection 2ml,null
ONDILED Tablet 10's,null
ONDEON 4mg Injection 2ml,null
ONDANEP 4mg Tablet 10's,null
ONDAFAX 4mg Tablet 10's,null
ONCES Injection 2ml,null
Ozotron 4mg Tablet 10'S,null
OZOTRON Syrup 30ml,null
Ozotron 2mg Injection 2ml,null
Ostron 4Mg Tablet 10's,null
Oset MD 4mg Tablet 10'S,null
Oset 4mg Tablet 10'S,null
Oset 2mg Syrup 30ml,null
OSENT MD Tablet 10's,null
OSENT Syrup 30ml,null
OSENT Injection 2ml,null
ONVIN NF Oral Solution 30ml,null
Ontic Syrup 30ml,null
ONSTAL 4mg Tablet 10's,null
ONSTAL 4mg Injection 2ml,null
ONSTAL Syrup 30ml,null
ONSTAL 2mg Injection 2ml,null
ONSETT 8mg Tablet 6's,null
ONO 2mg Injection 2ml,null
ONDY MD 4 Tablet 10's,null
ONDY Drops 30ml,null
ONDIVAC Injection 4ml,null
ONDIVAC Injection 2ml,null
ONDIRON MD Disintegrating Tablet 10's,null
Ondiron Injection 2ml,null
Ondiron 2mg Drops 30ml,null
ONDIMARK Injection 2ml,null
ONDILIUM MD Tablet 10's,null
ONDIFIL Tablet 10's,null
ONDIFIL 2 Syrup 30ml,null
ONDICURE Syrup 30ml,null
Ondewar Md 4Mg Tablet 10's,null
Ondewar Syrup 30ml,null
Ondewar 2Mg Injection 2ml,null
Ondet Syrup 30ml,null
ONDEON Oral Solution 30ml,null
ONDEON 8mg Tablet 10's,null
ONDEON 8mg Injection 4ml,null
ONDEON 4 Tablet 10's,null
ONDENTRU STRAWBERRY FLAVOUR 2mg Oral Solution 30ml,null
ONDENTRU 4mg Disintegrating Tablet 10's,null
Ondem MD 8mg Tablet 10'S,null
Ondem MD 4mg Tablet 10'S,null
Ondem Syrup 30ml,null
Ondem Injection 4ml,null
Ondem Injection 2ml,null
Ondem 8mg Tablet 10'S,null
Ondem 4mg Tablet 10'S,null
Ondedom 8mg Tablet 10'S,null
Ondedom 4mg Tablet 10'S,null
Ondamac Oral Solution 30ml,null
Ondamac MD Tablet 10'S,null
Ondamac Injection 2ml,null
Ondai 4mg Tablet 10'S,null
Ondai 4mg Injection 2ml,null
Ondai 2mg Syrup 5ml,null
Ondace Injection 2ml,null
ONDACE Solution 30ml,null
OND 8mg Tablet 10's,null
OND 2mg Syrup 30ml,null
ONBIT Injection 2ml,null
ODIWIN MD 4mg Tablet 10's,null
ODEAN MD Tablet 10's,null
ODEAN Syrup 30ml,null
ODEAN Injection 2ml,null
ODANSON 4 Tablet 10's,null
NAUVOM OD Tablet 15's,null
